N,P,K,temperature,humidity,ph,rainfall,soil_type,season,irrigation,crop_duration_days,label
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,alluvial,Kharif,semi-irrigated,114,rice
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,loamy,Kharif,irrigated,95,rice
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,alluvial,Kharif,irrigated,90,rice
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,clayey,Kharif,irrigated,126,rice
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,clayey,Kharif,semi-irrigated,150,rice
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,clayey,Kharif,irrigated,115,rice
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,alluvial,Kharif,irrigated,136,rice
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,clayey,Kharif,irrigated,96,rice
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,loamy,Kharif,irrigated,125,rice
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,loamy,Kharif,irrigated,122,rice
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,clayey,Kharif,semi-irrigated,126,rice
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,clayey,Kharif,semi-irrigated,134,rice
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,alluvial,Kharif,semi-irrigated,95,rice
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,clayey,Kharif,irrigated,108,rice
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,clayey,Kharif,irrigated,131,rice
82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,loamy,Kharif,irrigated,131,rice
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,loamy,Kharif,semi-irrigated,125,rice
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,loamy,Kharif,irrigated,121,rice
76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,clayey,Kharif,semi-irrigated,118,rice
74,39,38,23.24113501,84.59201843,7.782051312999999,233.0453455,loamy,Kharif,irrigated,119,rice
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,alluvial,Kharif,semi-irrigated,96,rice
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,clayey,Kharif,semi-irrigated,128,rice
60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,clayey,Kharif,irrigated,136,rice
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,alluvial,Kharif,irrigated,145,rice
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,alluvial,Kharif,irrigated,112,rice
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,loamy,Kharif,semi-irrigated,134,rice
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,alluvial,Kharif,irrigated,150,rice
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,clayey,Kharif,semi-irrigated,109,rice
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,loamy,Kharif,semi-irrigated,128,rice
91,36,45,24.44345477,82.45432595,5.950647577000001,267.97619480000003,clayey,Kharif,irrigated,145,rice
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,clayey,Kharif,semi-irrigated,99,rice
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,clayey,Kharif,irrigated,111,rice
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,alluvial,Kharif,irrigated,103,rice
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,clayey,Kharif,irrigated,140,rice
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,alluvial,Kharif,semi-irrigated,113,rice
70,36,42,21.84106875,80.72886384,6.9462098810000015,202.3838319,loamy,Kharif,irrigated,128,rice
76,47,42,20.08369642,83.29114712,5.739175027000001,263.6372176,loamy,Kharif,irrigated,93,rice
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,clayey,Kharif,semi-irrigated,150,rice
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,loamy,Kharif,semi-irrigated,141,rice
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,loamy,Kharif,irrigated,124,rice
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,alluvial,Kharif,semi-irrigated,112,rice
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,loamy,Kharif,semi-irrigated,150,rice
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,clayey,Kharif,irrigated,147,rice
67,45,38,22.72791041,82.17068809999998,7.300410836,260.8875056,loamy,Kharif,semi-irrigated,112,rice
79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,alluvial,Kharif,irrigated,143,rice
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,alluvial,Kharif,semi-irrigated,132,rice
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,clayey,Kharif,semi-irrigated,141,rice
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,loamy,Kharif,semi-irrigated,111,rice
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,alluvial,Kharif,irrigated,120,rice
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,alluvial,Kharif,irrigated,114,rice
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,alluvial,Kharif,semi-irrigated,118,rice
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,loamy,Kharif,semi-irrigated,116,rice
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,alluvial,Kharif,semi-irrigated,113,rice
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,alluvial,Kharif,irrigated,112,rice
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,loamy,Kharif,semi-irrigated,99,rice
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,clayey,Kharif,irrigated,128,rice
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,alluvial,Kharif,irrigated,91,rice
66,60,38,22.08576562,83.47038318,6.372576327000001,231.7364957,clayey,Kharif,irrigated,110,rice
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,clayey,Kharif,semi-irrigated,135,rice
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,loamy,Kharif,irrigated,101,rice
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,alluvial,Kharif,irrigated,104,rice
91,50,40,20.82477109,84.1341879,6.462391607000001,230.22422230000004,clayey,Kharif,semi-irrigated,115,rice
93,53,38,26.92995077,81.91411159,7.069172227,290.67937830000005,clayey,Kharif,semi-irrigated,138,rice
90,44,38,23.83509503,83.88387074,7.473134377,241.20135130000003,loamy,Kharif,semi-irrigated,144,rice
81,45,35,26.52872817,80.12267476,6.158376967000001,218.9163567,loamy,Kharif,semi-irrigated,122,rice
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,loamy,Kharif,irrigated,140,rice
60,51,36,22.69657794,82.81088865,6.028321557999999,256.9964761,clayey,Kharif,semi-irrigated,125,rice
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,alluvial,Kharif,semi-irrigated,136,rice
93,47,37,21.53346343,82.14004101,6.500343222000001,295.9248796,loamy,Kharif,semi-irrigated,103,rice
60,55,45,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,loamy,Kharif,semi-irrigated,112,rice
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,loamy,Kharif,semi-irrigated,134,rice
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,alluvial,Kharif,semi-irrigated,90,rice
71,54,16,22.61359953,63.69070564,5.7499144210000015,87.75953857,red,Kharif,irrigated,95,maize
61,44,17,26.10018422,71.57476937,6.931756557999999,102.2662445,red,Kharif,rainfed,99,maize
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,loamy,Kharif,rainfed,80,maize
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,loamy,Kharif,irrigated,86,maize
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,loamy,Kharif,irrigated,88,maize
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,red,Kharif,irrigated,94,maize
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,loamy,Kharif,semi-irrigated,87,maize
89,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649,red,Kharif,semi-irrigated,88,maize
76,44,17,20.41683147,62.55424820000001,5.855442401,65.27798457,red,Kharif,semi-irrigated,87,maize
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,red,Kharif,irrigated,90,maize
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,red,Kharif,rainfed,94,maize
90,49,21,24.84016732,68.3584573,6.4725232870000005,74.05474936,loamy,Kharif,rainfed,97,maize
62,52,16,22.27526694,58.84015925,6.9670577620000005,63.87020584,loamy,Kharif,irrigated,93,maize
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,alluvial,Kharif,rainfed,91,maize
66,54,21,25.19008683,60.200168700000006,5.919045532,72.12375573,loamy,Kharif,semi-irrigated,88,maize
63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,loamy,Kharif,rainfed,95,maize
70,47,17,24.612911800000006,70.4162444,6.600827017,104.1626147,red,Kharif,irrigated,94,maize
61,41,17,25.1420613,65.26185135,6.021902237000001,76.68456006,loamy,Kharif,rainfed,80,maize
66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729,loamy,Kharif,irrigated,82,maize
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,red,Kharif,irrigated,81,maize
77,57,21,24.9321581,73.80435276,6.550563822999999,79.74078719,alluvial,Kharif,semi-irrigated,92,maize
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,alluvial,Kharif,semi-irrigated,96,maize
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,alluvial,Kharif,irrigated,100,maize
83,45,21,18.83344471,58.75082029,5.716222912,79.75328959999999,loamy,Kharif,rainfed,86,maize
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,red,Kharif,rainfed,87,maize
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,loamy,Kharif,irrigated,81,maize
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,alluvial,Kharif,semi-irrigated,87,maize
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,red,Kharif,irrigated,85,maize
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,alluvial,Kharif,semi-irrigated,94,maize
87,54,20,25.61707368,63.4711755,6.576418207000001,108.8303762,red,Kharif,irrigated,81,maize
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,alluvial,Kharif,rainfed,81,maize
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,red,Kharif,rainfed,98,maize
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,loamy,Kharif,irrigated,90,maize
64,35,23,23.02038334,61.89472002,5.680361037999999,63.03843397,red,Kharif,irrigated,91,maize
60,46,22,24.89364635,65.61418761,6.625404347999999,87.9298085,loamy,Kharif,rainfed,97,maize
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,alluvial,Kharif,irrigated,80,maize
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,loamy,Kharif,semi-irrigated,96,maize
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,red,Kharif,rainfed,94,maize
98,35,18,23.79746068,74.82913698,6.252797547999999,91.76337172,red,Kharif,semi-irrigated,81,maize
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,red,Kharif,rainfed,83,maize
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,red,Kharif,irrigated,81,maize
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,red,Kharif,irrigated,94,maize
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,loamy,Kharif,rainfed,88,maize
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,alluvial,Kharif,rainfed,87,maize
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,red,Kharif,irrigated,94,maize
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,red,Kharif,rainfed,88,maize
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,alluvial,Kharif,semi-irrigated,92,maize
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,loamy,Kharif,semi-irrigated,86,maize
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,red,Kharif,irrigated,100,maize
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,alluvial,Kharif,irrigated,99,maize
99,36,20,20.57981887,65.34583901,6.671085817000001,78.34604471,red,Kharif,rainfed,92,maize
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,red,Kharif,irrigated,97,maize
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,alluvial,Kharif,irrigated,89,maize
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,alluvial,Kharif,irrigated,87,maize
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,red,Kharif,rainfed,93,maize
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,loamy,Kharif,rainfed,96,maize
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,alluvial,Kharif,semi-irrigated,99,maize
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,alluvial,Kharif,irrigated,88,maize
66,44,20,19.0781471,69.02298571,6.740000687999999,80.72515943,red,Kharif,irrigated,91,maize
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,alluvial,Kharif,irrigated,96,maize
79,45,20,23.80546189,59.24537979,5.715208817000001,89.96220140000001,red,Kharif,semi-irrigated,89,maize
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,alluvial,Kharif,irrigated,82,maize
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,alluvial,Kharif,irrigated,99,maize
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,alluvial,Kharif,rainfed,83,maize
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,red,Kharif,semi-irrigated,83,maize
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,loamy,Kharif,irrigated,96,maize
81,45,23,19.32666088,68.03449300000001,6.192360002999999,84.22969177,loamy,Kharif,semi-irrigated,95,maize
73,45,21,24.60532218,73.58868502,6.636803222999999,96.59195302,loamy,Kharif,rainfed,82,maize
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,loamy,Kharif,rainfed,96,maize
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,red,Kharif,semi-irrigated,86,maize
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,red,Kharif,rainfed,96,maize
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,alluvial,Kharif,rainfed,92,maize
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,alluvial,Kharif,semi-irrigated,80,maize
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,red,Kharif,semi-irrigated,97,maize
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,alluvial,Kharif,irrigated,80,maize
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,red,Kharif,irrigated,85,maize
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,alluvial,Kharif,semi-irrigated,90,maize
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,red,Kharif,irrigated,90,maize
63,42,21,23.26237612,72.33125523,5.798423907999999,67.10225139,loamy,Kharif,semi-irrigated,92,maize
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,red,Kharif,irrigated,98,maize
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,alluvial,Kharif,rainfed,82,maize
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,alluvial,Kharif,irrigated,86,maize
60,57,24,18.66116213,61.55327249,6.1212940410000005,75.03247667,alluvial,Kharif,irrigated,96,maize
71,52,18,25.10787449,55.97732754,5.790770202999999,78.16077693,red,Kharif,semi-irrigated,86,maize
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,red,Kharif,irrigated,84,maize
88,38,15,25.08239719,65.92195844,6.455116637000001,62.49190812,red,Kharif,semi-irrigated,96,maize
65,60,22,25.36768364,72.52054555,6.6069840860000015,107.9124111,loamy,Kharif,semi-irrigated,90,maize
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,red,Kharif,semi-irrigated,100,maize
78,58,15,25.00933355,67.816568,6.5286312660000005,62.91359494,red,Kharif,rainfed,82,maize
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,loamy,Kharif,semi-irrigated,82,maize
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,loamy,Kharif,irrigated,85,maize
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,alluvial,Kharif,semi-irrigated,98,maize
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,red,Kharif,rainfed,91,maize
87,48,25,18.65396672,61.37879671,6.656730007999999,93.62039175,loamy,Kharif,irrigated,100,maize
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,red,Kharif,irrigated,98,maize
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,loamy,Kharif,semi-irrigated,89,maize
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,alluvial,Kharif,irrigated,94,maize
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,alluvial,Kharif,irrigated,82,maize
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,alluvial,Kharif,irrigated,86,maize
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,red,Kharif,rainfed,82,maize
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,black,Rabi,rainfed,117,chickpea
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,black,Rabi,semi-irrigated,90,chickpea
39,58,85,17.88776475,15.40589717,5.9969320370000005,68.54932919,loamy,Rabi,semi-irrigated,106,chickpea
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,black,Rabi,rainfed,98,chickpea
36,67,77,18.36952567,19.56381041,7.152811172000001,79.26357665,black,Rabi,rainfed,114,chickpea
32,73,81,20.45078582,15.40312102,5.988992796000002,92.68373702,black,Rabi,rainfed,92,chickpea
58,70,84,20.6543203,16.60820843,6.231049027999999,74.6631118,loamy,Rabi,rainfed,119,chickpea
59,70,84,17.3348681,18.74926979,7.550808267000001,82.61734721,black,Rabi,semi-irrigated,101,chickpea
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,alluvial,Rabi,semi-irrigated,92,chickpea
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,black,Rabi,rainfed,101,chickpea
58,66,79,20.99373558,19.33470387,8.718192847000001,93.55280105,alluvial,Rabi,rainfed,106,chickpea
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,alluvial,Rabi,rainfed,96,chickpea
58,63,81,19.81344531,14.69765308,6.515499548999999,78.96514709,black,Rabi,rainfed,113,chickpea
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,alluvial,Rabi,semi-irrigated,93,chickpea
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,alluvial,Rabi,rainfed,109,chickpea
28,72,84,18.72963144,19.18197264,6.481783042999999,71.58010169,black,Rabi,rainfed,95,chickpea
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,alluvial,Rabi,semi-irrigated,98,chickpea
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,loamy,Rabi,semi-irrigated,114,chickpea
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,loamy,Rabi,semi-irrigated,94,chickpea
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,alluvial,Rabi,rainfed,91,chickpea
26,80,83,17.08498521,16.14565756,7.528599957000001,71.31007253,alluvial,Rabi,semi-irrigated,115,chickpea
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,loamy,Rabi,semi-irrigated,116,chickpea
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,loamy,Rabi,semi-irrigated,118,chickpea
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,loamy,Rabi,semi-irrigated,106,chickpea
59,62,83,18.57665902,19.22008229,8.104396057999999,72.94940441,loamy,Rabi,rainfed,99,chickpea
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,loamy,Rabi,semi-irrigated,111,chickpea
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,loamy,Rabi,semi-irrigated,96,chickpea
59,60,84,19.03025305,18.66725565,7.690962337999999,94.70992037,black,Rabi,semi-irrigated,107,chickpea
54,77,85,17.141861399999996,17.0662427,7.8292111439999985,83.74606679,loamy,Rabi,semi-irrigated,91,chickpea
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,loamy,Rabi,rainfed,115,chickpea
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,black,Rabi,semi-irrigated,96,chickpea
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,black,Rabi,semi-irrigated,104,chickpea
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,black,Rabi,rainfed,108,chickpea
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,black,Rabi,rainfed,96,chickpea
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,alluvial,Rabi,semi-irrigated,112,chickpea
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,alluvial,Rabi,semi-irrigated,114,chickpea
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,alluvial,Rabi,rainfed,97,chickpea
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,loamy,Rabi,rainfed,96,chickpea
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,black,Rabi,semi-irrigated,100,chickpea
54,61,77,18.81198127,15.21618225,6.206582192999999,77.54294240000002,black,Rabi,rainfed,101,chickpea
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,loamy,Rabi,semi-irrigated,95,chickpea
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,loamy,Rabi,rainfed,115,chickpea
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,loamy,Rabi,semi-irrigated,101,chickpea
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,loamy,Rabi,rainfed,91,chickpea
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,black,Rabi,rainfed,95,chickpea
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,loamy,Rabi,rainfed,100,chickpea
52,60,79,19.45339934,18.23490739,8.380185271,75.6317566,black,Rabi,rainfed,115,chickpea
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,alluvial,Rabi,rainfed,90,chickpea
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,alluvial,Rabi,rainfed,120,chickpea
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,loamy,Rabi,semi-irrigated,93,chickpea
43,79,79,19.40751744,18.98030507,7.8067476560000015,80.25064637,black,Rabi,rainfed,111,chickpea
44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,loamy,Rabi,rainfed,100,chickpea
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,loamy,Rabi,semi-irrigated,96,chickpea
29,77,75,17.50361137,15.48083156,7.778591617999999,72.9446671,black,Rabi,rainfed,109,chickpea
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,loamy,Rabi,rainfed,120,chickpea
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,alluvial,Rabi,rainfed,109,chickpea
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,loamy,Rabi,rainfed,114,chickpea
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,black,Rabi,rainfed,94,chickpea
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,loamy,Rabi,rainfed,118,chickpea
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,loamy,Rabi,semi-irrigated,96,chickpea
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,alluvial,Rabi,rainfed,99,chickpea
51,72,75,18.88852533,14.99451145,7.1042247970000005,80.11133840000002,black,Rabi,semi-irrigated,116,chickpea
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,alluvial,Rabi,rainfed,115,chickpea
22,64,82,19.48974337,17.17260319,6.4740245000000005,87.51312796,loamy,Rabi,semi-irrigated,108,chickpea
52,73,79,17.25769499,18.74943955,7.840339388999999,94.00287214,black,Rabi,rainfed,95,chickpea
29,75,75,19.62416326,18.71483156,7.064790365,88.4585692,black,Rabi,rainfed,93,chickpea
44,59,78,20.67526473,19.85388984,7.599033472,84.78344008,black,Rabi,rainfed,95,chickpea
41,69,82,20.02381489,16.63294455,6.715587232000001,68.97806542,loamy,Rabi,semi-irrigated,102,chickpea
52,56,85,20.118744600000007,14.44228303,6.81712422,88.68168643,loamy,Rabi,semi-irrigated,115,chickpea
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,alluvial,Rabi,rainfed,120,chickpea
42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,black,Rabi,rainfed,107,chickpea
